video_id,title,published_at,period,duration,view_count,comment_count,youtube_url,current_db_label,review_label,needs_review,candidate_confidence,label_status,labeler,labeled_at,notes,evidence
GuTgyhErtns,砸三萬元玩刮刮樂！刮多少就去墨西哥花多少！到底是去爽還是露宿街頭就看這次了！｜The DoDo Men 嘟嘟人,2022-04-06T13:00:17Z,pre,PT26M8S,1117981,638,https://www.youtube.com/watch?v=GuTgyhErtns,collab,collab,False,,,human,2026-05-02 17:50:27,,
ntUrY0XeEA4,騎腳踏車在美國地圖上簽名！頻道史上最累的企劃！騎到屁股爛掉爆胎被狗追超崩潰...｜The DoDo Men 嘟嘟人,2022-04-13T13:00:13Z,pre,PT28M37S,1134009,1745,https://www.youtube.com/watch?v=ntUrY0XeEA4,collab,collab,False,,,human,2026-05-02 17:50:27,,
GL367iXvnAU,跟隨當地墨西哥人去他們的工作場所！誤闖知名香港導演的新電影拍攝！｜The DoDo Men 嘟嘟人,2022-04-20T13:00:07Z,pre,PT19M27S,555085,562,https://www.youtube.com/watch?v=GL367iXvnAU,collab,collab,False,,,human,2026-05-02 17:50:27,,
xajDLc-30wQ,[YES MAN系列]一日Yes Man墨西哥版！當地暗黑料理全部摸一遍！不要再叫我吃這些怪東西了...｜The DoDo Men 嘟嘟人,2022-04-27T13:00:35Z,pre,PT20M15S,653276,429,https://www.youtube.com/watch?v=xajDLc-30wQ,collab,collab,False,,,human,2026-05-02 17:50:27,,
LdQ50ss2SyI,一無所有被矇眼丟到墨西哥偏僻角落！被帶去暗巷實在有夠可怕...我只想要回家！｜The DoDo Men 嘟嘟人,2022-05-04T13:00:12Z,pre,PT24M38S,887608,1339,https://www.youtube.com/watch?v=LdQ50ss2SyI,collab,collab,False,,,human,2026-05-02 17:50:27,,
ZwoKiG-JMvI,一日Taco廚師！隨機走進餐廳拜師學做墨西哥美食！墨西哥廚師都鐵沙掌？！｜The DoDo Men 嘟嘟人,2022-05-11T13:00:20Z,pre,PT23M42S,484305,332,https://www.youtube.com/watch?v=ZwoKiG-JMvI,collab,collab,False,,,human,2026-05-02 17:50:27,,
nOnDtrz4BQI,如何度過隔離的漫長時間！？防疫隔離的互整挑戰！第一天就戳到下下籤超衰...｜The DoDo Men 嘟嘟人,2022-05-18T13:00:28Z,pre,PT22M23S,533783,2222,https://www.youtube.com/watch?v=nOnDtrz4BQI,eric,eric,False,,,human,2026-05-02 17:50:27,,
STp1piWaLkE,回台灣的充實隔離時光！吃爆台灣美食！這些挑戰我做的好累...｜The DoDo Men 嘟嘟人,2022-05-25T13:00:10Z,pre,PT27M31S,532858,512,https://www.youtube.com/watch?v=STp1piWaLkE,ian,ian,False,,,human,2026-05-02 17:50:27,,
d9klxplIcmE,17天隔離期間挑戰學會後空翻！一個人在家學真的超危險⚠️！！｜The DoDo Men 嘟嘟人,2022-06-01T13:00:19Z,pre,PT17M34S,276817,471,https://www.youtube.com/watch?v=d9klxplIcmE,ian,ian,False,,,human,2026-05-02 17:50:27,,
AzumKj6Ni7c,獎勵完成一年企劃的超強粉絲！直接帶她去三天兩夜的度假！這裡也太美了吧！｜The DoDo Men 嘟嘟人,2022-06-08T13:00:06Z,pre,PT28M14S,813069,443,https://www.youtube.com/watch?v=AzumKj6Ni7c,collab,collab,False,,,human,2026-05-02 17:50:27,,
